Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
08/06/2024,Cotton,15,Salem,FAQ,Kolathur,6300,6000,6200,Tamil Nadu,Other
11/06/2024,Cotton,15,Salem,FAQ,Kolathur,6300,6000,6200,Tamil Nadu,Other
12/06/2024,Cotton,15,Salem,FAQ,Kolathur,6300,6000,6200,Tamil Nadu,Other
13/06/2024,Cotton,15,Salem,FAQ,Kolathur,6300,6000,6200,Tamil Nadu,Other
02/01/2024,Cotton,15,Salem,FAQ,Kolathur,6300,6000,6200,Tamil Nadu,Other
08/01/2024,Cotton,15,Salem,FAQ,Kolathur,6200,6000,6100,Tamil Nadu,Other
03/02/2024,Cotton,15,Salem,FAQ,Kolathur,6000,5800,5900,Tamil Nadu,Other
19/02/2024,Cotton,15,Salem,FAQ,Kolathur,6000,5800,5900,Tamil Nadu,Other
24/02/2024,Cotton,15,Salem,FAQ,Kolathur,6700,6500,6600,Tamil Nadu,Other
02/03/2024,Cotton,15,Salem,FAQ,Kolathur,7000,6700,6900,Tamil Nadu,Other
25/04/2024,Cotton,15,Salem,FAQ,Kolathur,7250,7050,7150,Tamil Nadu,Other
26/04/2024,Cotton,15,Salem,FAQ,Kolathur,7200,7000,7100,Tamil Nadu,Other
29/01/2024,Cotton,15,Salem,FAQ,Kolathur,6000,5800,5900,Tamil Nadu,Other
06/02/2024,Cotton,15,Salem,FAQ,Kolathur,6000,5800,5900,Tamil Nadu,Other
10/02/2024,Cotton,15,Salem,FAQ,Kolathur,6000,5800,5900,Tamil Nadu,Other
29/02/2024,Cotton,15,Salem,FAQ,Kolathur,6700,6500,6600,Tamil Nadu,Other
05/03/2024,Cotton,15,Salem,FAQ,Kolathur,7000,6700,6900,Tamil Nadu,Other
09/03/2024,Cotton,15,Salem,FAQ,Kolathur,7500,7300,7400,Tamil Nadu,Other
29/04/2024,Cotton,15,Salem,FAQ,Kolathur,7200,7000,7100,Tamil Nadu,Other
02/05/2024,Cotton,15,Salem,FAQ,Kolathur,7200,7000,7100,Tamil Nadu,Other
03/05/2024,Cotton,15,Salem,FAQ,Kolathur,7500,7100,7350,Tamil Nadu,Other
03/06/2024,Cotton,15,Salem,FAQ,Kolathur,6500,6300,6400,Tamil Nadu,Other
04/06/2024,Cotton,15,Salem,FAQ,Kolathur,6500,6300,6400,Tamil Nadu,Other
18/01/2024,Cotton,15,Salem,FAQ,Kolathur,6200,5800,6000,Tamil Nadu,Other
05/02/2024,Cotton,15,Salem,FAQ,Kolathur,6000,5800,5900,Tamil Nadu,Other
07/02/2024,Cotton,15,Salem,FAQ,Kolathur,6000,5800,5900,Tamil Nadu,Other
12/02/2024,Cotton,15,Salem,FAQ,Kolathur,6000,5800,5900,Tamil Nadu,Other
04/03/2024,Cotton,15,Salem,FAQ,Kolathur,7000,6700,6900,Tamil Nadu,Other
18/03/2024,Cotton,15,Salem,FAQ,Kolathur,7700,7400,7600,Tamil Nadu,Other
23/03/2024,Cotton,15,Salem,FAQ,Kolathur,8000,7800,7900,Tamil Nadu,Other
06/05/2024,Cotton,15,Salem,FAQ,Kolathur,7500,7100,7350,Tamil Nadu,Other
01/06/2024,Cotton,15,Salem,FAQ,Kolathur,6500,6300,6400,Tamil Nadu,Other
10/06/2024,Cotton,15,Salem,FAQ,Kolathur,6300,6000,6200,Tamil Nadu,Other
20/01/2024,Cotton,15,Salem,FAQ,Kolathur,5850,5600,5800,Tamil Nadu,Other
30/03/2024,Cotton,15,Salem,FAQ,Kolathur,7500,7400,7450,Tamil Nadu,Other
01/04/2024,Cotton,15,Salem,FAQ,Kolathur,7500,7400,7450,Tamil Nadu,Other
27/04/2024,Cotton,15,Salem,FAQ,Kolathur,7200,7000,7100,Tamil Nadu,Other
18/05/2024,Cotton,15,Salem,FAQ,Kolathur,7000,6800,6900,Tamil Nadu,Other
17/05/2024,Cotton,15,Salem,FAQ,Kolathur,7000,6800,6900,Tamil Nadu,Other
19/01/2024,Cotton,15,Salem,FAQ,Kolathur,5850,5600,5800,Tamil Nadu,Other
26/02/2024,Cotton,15,Salem,FAQ,Kolathur,6700,6500,6600,Tamil Nadu,Other
19/03/2024,Cotton,15,Salem,FAQ,Kolathur,7700,7400,7600,Tamil Nadu,Other
13/02/2024,Cotton,15,Salem,FAQ,Konganapuram,6810,6130,6300,Tamil Nadu,Other
31/01/2024,Cotton,15,Salem,FAQ,Konganapuram,7050,6130,6600,Tamil Nadu,Other
22/01/2024,Cotton,15,Salem,FAQ,Konganapuram,7160,6100,6600,Tamil Nadu,Other
23/01/2024,Cotton,15,Salem,FAQ,Konganapuram,7160,6100,6600,Tamil Nadu,Other
02/07/2024,Cotton,15,Salem,Local,Mecheri,7400,6200,6700,Tamil Nadu,170-CO2 (Unginned)
10/06/2024,Cotton,15,Salem,FAQ,Thalaivasal,6450,6100,6300,Tamil Nadu,Other
10/02/2024,Cotton,15,Salem,FAQ,Thalaivasal,7030,6170,6720,Tamil Nadu,Other
